見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,１マントにんぎょうのまき,0,4
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,１マントにんぎょうのまき,0,4
は,は,は,助詞,副助詞,NIL,１マントにんぎょうのまき,0,4
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,4
林,はやし,林,名詞,人名,人名:日本:姓:21:0.00419,１マントにんぎょうのまき,0,4
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,１マントにんぎょうのまき,0,4
と,と,と,助詞,格助詞,NIL,１マントにんぎょうのまき,0,4
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,１マントにんぎょうのまき,0,4
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,4
四十,四十,四十,名詞,数詞,カテゴリ:数量 未知語:数字,１マントにんぎょうのまき,0,4
ぐらい,ぐらい,ぐらい,助詞,副助詞,代表表記:くらい/くらい,１マントにんぎょうのまき,0,4
の,の,の,助詞,格助詞,NIL,１マントにんぎょうのまき,0,4
おじさん,おじさん,おじさん,名詞,普通名詞,代表表記:伯父さん/おじさん ドメイン:家庭・暮らし カテゴリ:人,１マントにんぎょうのまき,0,4
でした,でした,だ,判定詞,*,NIL,１マントにんぎょうのまき,0,4
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,0,4
おくさん,おくさん,おくさん,名詞,普通名詞,代表表記:奥さん/おくさん ドメイン:家庭・暮らし カテゴリ:人,１マントにんぎょうのまき,0,5
も,も,も,助詞,副助詞,NIL,１マントにんぎょうのまき,0,5
子ども,こども,子ども,名詞,普通名詞,代表表記:子供/こども カテゴリ:人,１マントにんぎょうのまき,0,5
も,も,も,助詞,副助詞,NIL,１マントにんぎょうのまき,0,5
なく,なく,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,１マントにんぎょうのまき,0,5
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,5
たった,たった,たった,連体詞,*,代表表記:たった/たった,１マントにんぎょうのまき,0,5
ひと,ひと,ひと,名詞,数詞,カテゴリ:数量 連語由来,１マントにんぎょうのまき,0,5
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,１マントにんぎょうのまき,0,5
で,で,で,助詞,格助詞,NIL,１マントにんぎょうのまき,0,5
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,5
その,その,その,指示詞,連体詞形態指示詞,NIL,１マントにんぎょうのまき,0,5
ひろい,ひろい,ひろい,形容詞,*,代表表記:広い/ひろい 反義:形容詞:狭い/せまい,１マントにんぎょうのまき,0,5
せい,せい,せい,名詞,副詞的名詞,代表表記:せい/せい,１マントにんぎょうのまき,0,5
ようかん,ようかん,ようかん,名詞,普通名詞,代表表記:洋館/ようかん カテゴリ:場所-施設,１マントにんぎょうのまき,0,5
に,に,に,助詞,格助詞,NIL,１マントにんぎょうのまき,0,5
すんで,すんで,すむ,動詞,*,代表表記:住む/すむ ドメイン:家庭・暮らし,１マントにんぎょうのまき,0,5
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１マントにんぎょうのまき,0,5
のです,のです,のだ,助動詞,*,NIL,１マントにんぎょうのまき,0,5
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,0,5
きんじょ,きんじょ,きんじょ,名詞,普通名詞,代表表記:近所/きんじょ ドメイン:家庭・暮らし カテゴリ:場所-その他,１マントにんぎょうのまき,0,6
の,の,の,助詞,接続助詞,NIL,１マントにんぎょうのまき,0,6
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,１マントにんぎょうのまき,0,6
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,１マントにんぎょうのまき,0,6
は,は,は,助詞,副助詞,NIL,１マントにんぎょうのまき,0,6
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,6
この,この,この,指示詞,連体詞形態指示詞,NIL,１マントにんぎょうのまき,0,6
せい,せい,せい,名詞,副詞的名詞,代表表記:せい/せい,１マントにんぎょうのまき,0,6
ようかん,ようかん,ようかん,名詞,普通名詞,代表表記:洋館/ようかん カテゴリ:場所-施設,１マントにんぎょうのまき,0,6
を,を,を,助詞,格助詞,NIL,１マントにんぎょうのまき,0,6
ばけもの,ばけもの,ばけもの,名詞,普通名詞,代表表記:化け物/ばけもの カテゴリ:抽象物,１マントにんぎょうのまき,0,6
や,や,や,助詞,接続助詞,NIL,１マントにんぎょうのまき,0,6
しき,しき,しき,名詞,サ変名詞,代表表記:指揮/しき カテゴリ:抽象物,１マントにんぎょうのまき,0,6
と,と,と,助詞,格助詞,NIL,１マントにんぎょうのまき,0,6
いって,いって,いう,動詞,*,代表表記:言う/いう 補文ト,１マントにんぎょうのまき,0,6
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１マントにんぎょうのまき,0,6
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,１マントにんぎょうのまき,0,6
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,0,6
また,また,また,副詞,*,代表表記:又/また,１マントにんぎょうのまき,0,7
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,7
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,１マントにんぎょうのまき,0,7
に,に,に,助詞,格助詞,NIL,１マントにんぎょうのまき,0,7
ひと,ひと,ひと,名詞,数詞,カテゴリ:数量 連語由来,１マントにんぎょうのまき,0,7
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,１マントにんぎょうのまき,0,7
で,で,で,助詞,格助詞,NIL,１マントにんぎょうのまき,0,7
すんで,すんで,すむ,動詞,*,代表表記:住む/すむ ドメイン:家庭・暮らし,１マントにんぎょうのまき,0,7
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１マントにんぎょうのまき,0,7
林,はやし,林,名詞,人名,人名:日本:姓:21:0.00419,１マントにんぎょうのまき,0,7
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,１マントにんぎょうのまき,0,7
を,を,を,助詞,格助詞,NIL,１マントにんぎょうのまき,0,7
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,7
まほうつかい,まほうつかい,まほうつかい,名詞,普通名詞,代表表記:魔法使い/まほうつかい カテゴリ:人,１マントにんぎょうのまき,0,7
と,と,と,助詞,格助詞,NIL,１マントにんぎょうのまき,0,7
よんで,よんで,よぶ,動詞,*,代表表記:呼ぶ/よぶ,１マントにんぎょうのまき,0,7
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１マントにんぎょうのまき,0,7
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,１マントにんぎょうのまき,0,7
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,0,7
ところが,ところが,ところが,接続詞,*,代表表記:ところが/ところが,１マントにんぎょうのまき,0,8
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,8
きむら,きむら,きむら,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia姓,１マントにんぎょうのまき,0,8
たけし,たけし,たけし,名詞,人名,人名:日本:名:974:0.00018,１マントにんぎょうのまき,0,8
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,１マントにんぎょうのまき,0,8
の,の,の,助詞,接続助詞,NIL,１マントにんぎょうのまき,0,8
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,１マントにんぎょうのまき,0,8
とうさん,とうさん,とうさん,名詞,サ変名詞,代表表記:倒産/とうさん ドメイン:ビジネス カテゴリ:抽象物,１マントにんぎょうのまき,0,8
は,は,は,助詞,副助詞,NIL,１マントにんぎょうのまき,0,8
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,8
この,この,この,指示詞,連体詞形態指示詞,NIL,１マントにんぎょうのまき,0,8
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,１マントにんぎょうのまき,0,8
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,１マントにんぎょうのまき,0,8
と,と,と,助詞,格助詞,NIL,１マントにんぎょうのまき,0,8
だいの,だいの,だいの,連体詞,*,代表表記:大の/だいの,１マントにんぎょうのまき,0,8
なかよし,なかよし,なかよし,名詞,普通名詞,代表表記:仲良し/なかよし カテゴリ:抽象物,１マントにんぎょうのまき,0,8
だった,だった,だ,判定詞,*,NIL,１マントにんぎょうのまき,0,8
ので,ので,のだ,助動詞,*,NIL,１マントにんぎょうのまき,0,8
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,8
林,はやし,林,名詞,人名,人名:日本:姓:21:0.00419,１マントにんぎょうのまき,0,8
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,１マントにんぎょうのまき,0,8
は,は,は,助詞,副助詞,NIL,１マントにんぎょうのまき,0,8
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,8
たけし,たけし,たけし,名詞,人名,人名:日本:名:974:0.00018,１マントにんぎょうのまき,0,8
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,１マントにんぎょうのまき,0,8
の,の,の,助詞,接続助詞,NIL,１マントにんぎょうのまき,0,8
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,１マントにんぎょうのまき,0,8
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,１マントにんぎょうのまき,0,8
へ,へ,へ,助詞,格助詞,NIL,１マントにんぎょうのまき,0,8
よく,よく,よく,副詞,*,代表表記:良く/よく,１マントにんぎょうのまき,0,8
あそび,あそび,あそぶ,動詞,*,代表表記:遊ぶ/あそぶ ドメイン:レクリエーション,１マントにんぎょうのまき,0,8
に,に,に,助詞,格助詞,NIL,１マントにんぎょうのまき,0,8
き,き,くる,動詞,*,代表表記:来る/くる 反義:動詞:帰る/かえる,１マントにんぎょうのまき,0,8
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,１マントにんぎょうのまき,0,8
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,0,8
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,１マントにんぎょうのまき,0,9
とうさん,とうさん,とうさん,名詞,サ変名詞,代表表記:倒産/とうさん ドメイン:ビジネス カテゴリ:抽象物,１マントにんぎょうのまき,0,9
は,は,は,助詞,副助詞,NIL,１マントにんぎょうのまき,0,9
たけし,たけし,たけし,名詞,人名,人名:日本:名:974:0.00018,１マントにんぎょうのまき,0,9
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,１マントにんぎょうのまき,0,9
と,と,と,助詞,格助詞,NIL,１マントにんぎょうのまき,0,9
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,9
いもうと,いもうと,いもうと,名詞,普通名詞,代表表記:妹/いもうと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,１マントにんぎょうのまき,0,9
の,の,の,助詞,接続助詞,NIL,１マントにんぎょうのまき,0,9
しょうがっこう,しょうがっこう,しょうがっこう,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,１マントにんぎょうのまき,0,9
一ねん,いちねん,一ねん,名詞,普通名詞,代表表記:一念/いちねん カテゴリ:抽象物,１マントにんぎょうのまき,0,9
生,せい,生,名詞,普通名詞,代表表記:生/せい カテゴリ:抽象物 漢字読み:音,１マントにんぎょうのまき,0,9
の,の,の,助詞,接続助詞,NIL,１マントにんぎょうのまき,0,9
きみ子,きみ子,きみ子,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,１マントにんぎょうのまき,0,9
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,１マントにんぎょうのまき,0,9
に,に,に,助詞,格助詞,NIL,１マントにんぎょうのまき,0,9
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,9
よく,よく,よく,副詞,*,代表表記:良く/よく,１マントにんぎょうのまき,0,9
こんなふうに,こんなふうに,こんなふうに,指示詞,副詞形態指示詞,NIL,１マントにんぎょうのまき,0,9
いって,いって,いく,動詞,*,代表表記:行く/いく ドメイン:交通 反義:動詞:帰る/かえる 付属動詞候補（タ系）,１マントにんぎょうのまき,0,9
きか,きか,きく,動詞,*,代表表記:利く/きく,１マントにんぎょうのまき,0,9
せる,せる,せる,接尾辞,動詞性接尾辞,代表表記:せる/せる,１マントにんぎょうのまき,0,9
のでした,のでした,のだ,助動詞,*,NIL,１マントにんぎょうのまき,0,9
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,0,9
「,「,「,特殊,括弧始,NIL,１マントにんぎょうのまき,0,10
林,はやし,林,名詞,人名,人名:日本:姓:21:0.00419,１マントにんぎょうのまき,0,10
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,１マントにんぎょうのまき,0,10
は,は,は,助詞,副助詞,NIL,１マントにんぎょうのまき,0,10
かわりもの,かわりもの,かわりもの,名詞,普通名詞,代表表記:変わり者/かわりもの カテゴリ:抽象物,１マントにんぎょうのまき,0,10
だ,だ,だ,判定詞,*,NIL,１マントにんぎょうのまき,0,10
が,が,が,助詞,接続助詞,NIL,１マントにんぎょうのまき,0,10
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,10
けっして,けっして,けっして,副詞,*,代表表記:決して/けっして,１マントにんぎょうのまき,0,10
わるい,わるい,わるい,形容詞,*,代表表記:悪い/わるい 反義:形容詞:良い/よい,１マントにんぎょうのまき,0,10
人,じん,人,名詞,普通名詞,代表表記:人/じん カテゴリ:人 漢字読み:音,１マントにんぎょうのまき,0,10
じゃ,じゃ,だ,判定詞,*,NIL,１マントにんぎょうのまき,0,10
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,１マントにんぎょうのまき,0,10
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,0,10
たいへん,たいへん,たいへん,副詞,*,代表表記:大変/たいへん,１マントにんぎょうのまき,0,11
ちえ,ちえ,ちえ,名詞,普通名詞,代表表記:知恵/ちえ カテゴリ:抽象物,１マントにんぎょうのまき,0,11
が,が,が,助詞,格助詞,NIL,１マントにんぎょうのまき,0,11
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,１マントにんぎょうのまき,0,11
のだ,のだ,のだ,助動詞,*,NIL,１マントにんぎょうのまき,0,11
よ,よ,よ,助詞,終助詞,NIL,１マントにんぎょうのまき,0,11
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,0,11
その,その,その,指示詞,連体詞形態指示詞,NIL,１マントにんぎょうのまき,0,12
ちえ,ちえ,ちえ,名詞,普通名詞,代表表記:知恵/ちえ カテゴリ:抽象物,１マントにんぎょうのまき,0,12
で,で,だ,判定詞,*,NIL,１マントにんぎょうのまき,0,12
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,12
いろいろ,いろいろ,いろいろ,副詞,*,代表表記:色々/いろいろ,１マントにんぎょうのまき,0,12
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,１マントにんぎょうのまき,0,12
こと,こと,こと,名詞,形式名詞,NIL,１マントにんぎょうのまき,0,12
を,を,を,助詞,格助詞,NIL,１マントにんぎょうのまき,0,12
やって,やって,やる,動詞,*,代表表記:やる/やる 付属動詞候補（タ系）,１マントにんぎょうのまき,0,12
み,み,みる,接尾辞,動詞性接尾辞,代表表記:みる/みる,１マントにんぎょうのまき,0,12
せる,せる,せる,接尾辞,動詞性接尾辞,代表表記:せる/せる,１マントにんぎょうのまき,0,12
ので,ので,のだ,助動詞,*,NIL,１マントにんぎょうのまき,0,12
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,12
まほうつかい,まほうつかい,まほうつかい,名詞,普通名詞,代表表記:魔法使い/まほうつかい カテゴリ:人,１マントにんぎょうのまき,0,12
の,の,だ,判定詞,*,NIL,１マントにんぎょうのまき,0,12
ように,ように,ようだ,助動詞,*,NIL,１マントにんぎょうのまき,0,12
みえる,みえる,みえる,動詞,*,代表表記:見える/みえる 自他動詞:他:見る/みる,１マントにんぎょうのまき,0,12
だけ,だけ,だけ,助詞,副助詞,NIL,１マントにんぎょうのまき,0,12
な,な,だ,判定詞,*,NIL,１マントにんぎょうのまき,0,12
の,の,のだ,助動詞,*,NIL,１マントにんぎょうのまき,0,12
さ,さ,さ,助詞,終助詞,NIL,１マントにんぎょうのまき,0,12
」,」,」,特殊,括弧終,NIL,１マントにんぎょうのまき,0,12
たけし,たけし,たけし,名詞,人名,人名:日本:名:974:0.00018,１マントにんぎょうのまき,0,12
くん,くん,くん,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,１マントにんぎょうのまき,0,12
も,も,も,助詞,副助詞,NIL,１マントにんぎょうのまき,0,12
きみ子,きみ子,きみ子,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,１マントにんぎょうのまき,0,12
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,１マントにんぎょうのまき,0,12
も,も,も,助詞,副助詞,NIL,１マントにんぎょうのまき,0,12
、,、,、,特殊,読点,NIL,１マントにんぎょうのまき,0,12
林,はやし,林,名詞,人名,人名:日本:姓:21:0.00419,１マントにんぎょうのまき,0,12
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,１マントにんぎょうのまき,0,12
と,と,と,助詞,格助詞,NIL,１マントにんぎょうのまき,0,12
なかよし,なかよし,なかよし,名詞,普通名詞,代表表記:仲良し/なかよし カテゴリ:抽象物,１マントにんぎょうのまき,0,12
に,に,に,助詞,格助詞,NIL,１マントにんぎょうのまき,0,12
なって,なって,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,１マントにんぎょうのまき,0,12
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,１マントにんぎょうのまき,0,12
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,１マントにんぎょうのまき,0,12
。,。,。,特殊,句点,NIL,１マントにんぎょうのまき,0,12
ある,ある,ある,連体詞,*,代表表記:或る/ある,１マントにんぎょうのまき,0,13
日,にち,日,名詞,時相名詞,代表表記:日/にち カテゴリ:時間 漢字読み:音,１マントにんぎょうのまき,0,13
の,の,の,助詞,接続助詞,NIL,１マントにんぎょうのまき,0,13
ごご,ごご,ごご,名詞,時相名詞,代表表記:午後/ごご カテゴリ:時間,１マントにんぎょうのまき,0,13
三,さん,三,名詞,数詞,カテゴリ:数量,１マントにんぎょうのまき,0,13
